timestamp,temperature,humidity,mse,threshold,is_anomaly,label
2026-04-27T14:27:27.841991,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:27:31.128232,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:27:34.420048,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:27:37.711852,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:27:41.003547,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:27:44.295247,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:27:47.587080,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:27:50.878889,32.0,75.5,0.38695,0.403642,0,NORMAL
2026-04-27T14:27:54.170581,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:27:57.462435,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:28:00.754089,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:28:04.045855,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:28:07.337542,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:28:10.629384,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:28:13.921075,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:28:17.212856,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:28:20.504633,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:28:23.796459,32.0,75.6,0.429403,0.403642,1,ANOMALY
2026-04-27T14:28:27.088251,32.0,75.6,0.429403,0.403642,1,ANOMALY
2026-04-27T14:28:30.379975,32.0,75.6,0.429403,0.403642,1,ANOMALY
2026-04-27T14:28:33.671762,32.0,75.6,0.429403,0.403642,1,ANOMALY
2026-04-27T14:28:36.963528,32.0,75.6,0.429403,0.403642,1,ANOMALY
2026-04-27T14:28:40.255290,32.0,75.6,0.429403,0.403642,1,ANOMALY
2026-04-27T14:28:43.547086,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:28:46.838929,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:28:50.130723,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:28:53.422578,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:28:56.714365,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:29:00.006219,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:29:03.298049,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:29:06.589837,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:29:09.881560,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:29:13.173343,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:29:16.465189,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:29:19.757071,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:29:23.048898,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:29:26.340600,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:29:29.632407,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:29:32.924156,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:29:36.216030,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:29:39.507849,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:29:42.799590,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:29:46.091432,32.0,75.7,0.4763,0.403642,1,ANOMALY
2026-04-27T14:29:49.383393,32.0,75.9,0.579344,0.403642,1,ANOMALY
2026-04-27T14:29:52.675094,32.0,75.8,0.526476,0.403642,1,ANOMALY
2026-04-27T14:29:55.966919,32.0,75.6,0.429403,0.403642,1,ANOMALY
2026-04-27T14:29:59.258768,32.0,75.6,0.429403,0.403642,1,ANOMALY
2026-04-27T14:30:02.550493,32.0,75.5,0.38695,0.403642,0,NORMAL
2026-04-27T14:30:05.842364,32.0,75.5,0.38695,0.403642,0,NORMAL
2026-04-27T14:30:09.134216,32.0,75.4,0.34894,0.403642,0,NORMAL
2026-04-27T14:30:12.425973,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:15.717794,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:19.009625,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:22.301418,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:25.593181,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:28.884998,32.0,75.4,0.34894,0.403642,0,NORMAL
2026-04-27T14:30:32.176884,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:35.468807,32.0,75.1,0.261569,0.403642,0,NORMAL
2026-04-27T14:30:38.760532,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:42.052375,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:45.344183,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:48.636044,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:51.927476,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:55.219645,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:30:58.511495,32.0,75.3,0.315373,0.403642,0,NORMAL
2026-04-27T14:31:01.803266,32.0,75.3,0.315373,0.403642,0,NORMAL
