timestamp,temperature,humidity,ms_device,label
2026-04-26T17:56:52.954675,31.6,77.9,22346,0
2026-04-26T17:56:56.246504,31.6,78.0,25638,0
2026-04-26T17:56:59.538298,31.6,78.0,28930,0
2026-04-26T17:57:02.830075,31.6,78.0,32222,0
2026-04-26T17:57:06.121885,31.6,78.0,35514,0
2026-04-26T17:57:09.413651,31.6,78.0,38806,0
2026-04-26T17:57:12.705540,31.6,77.9,42098,0
2026-04-26T17:57:15.997295,31.6,78.0,45390,0
2026-04-26T17:57:19.289160,31.6,78.1,48682,0
2026-04-26T17:57:22.580954,31.7,78.0,51974,0
2026-04-26T17:57:25.872769,31.7,78.0,55266,0
2026-04-26T17:57:29.164550,31.7,78.0,58558,0
2026-04-26T17:57:32.456355,31.7,78.0,61850,0
2026-04-26T17:57:35.748225,31.7,78.1,65142,0
2026-04-26T17:57:39.039982,31.7,78.1,68434,0
2026-04-26T17:57:42.331822,31.7,78.1,71726,0
2026-04-26T17:57:45.623618,31.7,78.1,75018,0
2026-04-26T17:57:48.915421,31.7,78.1,78310,0
2026-04-26T17:57:52.207229,31.7,78.1,81602,0
2026-04-26T17:57:55.498927,31.7,78.0,84894,0
2026-04-26T17:57:58.790891,31.7,78.1,88186,0
2026-04-26T17:58:02.082558,31.7,78.0,91478,0
2026-04-26T17:58:05.374313,31.7,78.0,94770,0
2026-04-26T17:58:08.666105,31.7,78.0,98062,0
2026-04-26T17:58:11.957992,31.7,78.0,101354,0
2026-04-26T17:58:15.249787,31.7,78.0,104646,0
2026-04-26T17:58:18.541601,31.7,78.0,107938,0
2026-04-26T17:58:21.833426,31.7,78.0,111230,0
2026-04-26T17:58:25.125216,31.7,78.0,114522,0
2026-04-26T17:58:28.416998,31.7,78.0,117814,0
2026-04-26T17:58:31.708817,31.7,78.0,121106,0
2026-04-26T17:58:35.000603,31.7,78.0,124398,0
2026-04-26T17:58:38.292410,31.7,78.0,127690,0
2026-04-26T17:58:41.584217,31.7,78.0,130982,0
2026-04-26T17:58:44.876022,31.8,78.0,134274,0
2026-04-26T17:58:48.167784,31.7,78.0,137566,0
2026-04-26T17:58:51.459635,31.8,78.0,140858,0
2026-04-26T17:58:54.751420,31.8,78.0,144150,0
2026-04-26T17:58:58.043226,31.8,78.0,147442,0
2026-04-26T17:59:01.334993,31.7,77.9,150734,0
2026-04-26T17:59:04.626841,31.8,77.8,154026,0
2026-04-26T17:59:07.918563,31.8,77.8,157318,0
2026-04-26T17:59:11.210386,31.8,77.7,160610,0
2026-04-26T17:59:14.502178,31.8,77.7,163902,0
2026-04-26T17:59:17.793950,31.8,77.7,167194,0
2026-04-26T17:59:21.085769,31.8,77.7,170486,0
2026-04-26T17:59:24.377573,31.8,77.7,173778,0
2026-04-26T17:59:27.669261,31.8,77.6,177070,0
2026-04-26T17:59:30.961166,31.8,77.5,180362,0
2026-04-26T17:59:34.252967,31.8,77.5,183654,0
2026-04-26T17:59:37.544690,31.8,77.4,186946,0
2026-04-26T17:59:40.836485,31.8,77.4,190238,0
2026-04-26T17:59:44.128336,31.8,77.3,193530,0
2026-04-26T17:59:47.420094,31.8,77.2,196822,0
2026-04-26T17:59:50.711852,31.8,77.2,200114,0
2026-04-26T17:59:54.003692,31.8,77.2,203406,0
2026-04-26T17:59:57.295488,31.8,77.2,206698,0
2026-04-26T18:00:00.587259,31.8,77.2,209990,0
2026-04-26T18:00:03.879097,31.8,77.1,213282,0
2026-04-26T18:00:07.170910,31.8,77.1,216574,0
2026-04-26T18:00:10.462708,31.8,77.1,219866,0
2026-04-26T18:00:13.754461,31.8,77.1,223158,0
2026-04-26T18:00:17.046261,31.8,77.1,226450,0
2026-04-26T18:00:20.337966,31.8,77.0,229741,0
2026-04-26T18:00:23.629787,31.8,77.0,233033,0
2026-04-26T18:00:26.921633,31.8,76.9,236326,0
2026-04-26T18:00:30.213429,31.8,76.9,239618,0
2026-04-26T18:00:33.505225,31.8,76.9,242910,0
2026-04-26T18:00:36.796969,31.8,76.8,246201,0
2026-04-26T18:00:40.088744,31.8,76.8,249493,0
2026-04-26T18:00:43.380526,31.8,76.8,252785,0
2026-04-26T18:00:46.672337,31.8,76.8,256077,0
2026-04-26T18:00:49.964123,31.8,76.8,259369,0
2026-04-26T18:00:53.255940,31.8,76.8,262661,0
2026-04-26T18:00:56.547848,31.8,76.8,265953,0
2026-04-26T18:00:59.839787,31.8,76.8,269245,0
2026-04-26T18:01:03.131599,31.8,76.8,272537,0
2026-04-26T18:01:06.423428,31.8,76.8,275829,0
2026-04-26T18:01:09.715188,31.8,76.8,279121,0
2026-04-26T18:01:13.007002,31.8,76.8,282413,0
2026-04-26T18:01:16.298724,31.8,76.8,285705,0
2026-04-26T18:01:19.590541,31.8,76.8,288997,0
2026-04-26T18:01:22.882594,31.8,76.7,292290,0
2026-04-26T18:01:26.174604,31.8,76.6,295582,0
2026-04-26T18:01:29.466437,31.9,76.5,298874,0
2026-04-26T18:01:32.758120,31.8,76.5,302166,0
2026-04-26T18:01:36.049967,31.9,76.4,305458,0
2026-04-26T18:01:39.341721,31.8,76.3,308750,0
2026-04-26T18:01:42.633497,31.8,76.3,312042,0
2026-04-26T18:01:45.925281,31.8,76.3,315334,0
2026-04-26T18:01:49.217153,31.8,76.3,318626,0
2026-04-26T18:01:52.508928,31.9,76.2,321918,0
2026-04-26T18:01:55.800675,31.8,76.2,325210,0
2026-04-26T18:01:59.092504,31.8,76.1,328502,0
2026-04-26T18:02:02.384259,31.9,76.0,331794,0
2026-04-26T18:02:05.676070,31.8,76.0,335086,0
2026-04-26T18:02:08.967947,31.9,75.9,338378,0
2026-04-26T18:02:12.259766,31.9,75.9,341670,0
2026-04-26T18:02:15.551502,31.9,75.8,344962,0
2026-04-26T18:02:18.843258,31.9,75.8,348254,0
2026-04-26T18:02:22.135091,31.9,75.8,351546,0
2026-04-26T18:02:25.426837,31.9,75.8,354838,0
2026-04-26T18:02:28.718689,31.9,75.7,358130,0
2026-04-26T18:02:32.010509,31.9,75.7,361422,0
2026-04-26T18:02:35.302287,31.9,75.7,364714,0
2026-04-26T18:02:38.594007,31.9,75.8,368006,0
2026-04-26T18:02:41.885823,31.9,75.8,371298,0
2026-04-26T18:02:45.177564,31.9,75.8,374590,0
2026-04-26T18:02:48.469429,31.9,75.8,377882,0
2026-04-26T18:02:51.761238,31.9,75.8,381174,0
2026-04-26T18:02:55.053097,31.9,75.7,384466,0
2026-04-26T18:02:58.344879,31.9,75.7,387758,0
2026-04-26T18:03:01.636736,31.9,75.7,391050,0
2026-04-26T18:03:04.928535,31.9,75.7,394342,0
2026-04-26T18:03:08.220249,31.9,75.6,397634,0
2026-04-26T18:03:11.511985,31.9,75.6,400926,0
2026-04-26T18:03:14.803839,31.9,75.5,404218,0
2026-04-26T18:03:18.095639,31.9,75.5,407510,0
2026-04-26T18:03:21.387484,31.9,75.5,410802,0
2026-04-26T18:03:24.679205,31.9,75.4,414094,0
2026-04-26T18:03:27.971011,31.9,75.4,417386,0
2026-04-26T18:03:31.262746,31.9,75.4,420678,0
2026-04-26T18:03:34.554513,31.9,75.4,423970,0
2026-04-26T18:03:37.846368,31.9,75.4,427262,0
2026-04-26T18:03:41.138190,31.9,75.3,430554,0
2026-04-26T18:03:44.429941,31.9,75.3,433846,0
